{u'decodedSeries': 16, u'videoSeries': 0.368852, u'presentedSeries': 12, u'presentedTime': 1557735794583, u'decodedTime': 1557735794583, u'fpsSeries': 14, u'fpsTime': 1557735794583}
{u'decodedSeries': 45, u'videoSeries': 1.381365, u'presentedSeries': 42, u'presentedTime': 1557735795582, u'decodedTime': 1557735795582, u'fpsSeries': 44, u'fpsTime': 1557735795582}
{u'decodedSeries': 76, u'videoSeries': 2.390985, u'presentedSeries': 72, u'presentedTime': 1557735796582, u'decodedTime': 1557735796582, u'fpsSeries': 75, u'fpsTime': 1557735796582}
{u'decodedSeries': 106, u'videoSeries': 3.401688, u'presentedSeries': 102, u'presentedTime': 1557735797583, u'decodedTime': 1557735797583, u'fpsSeries': 104, u'fpsTime': 1557735797583}
{u'decodedSeries': 136, u'videoSeries': 4.371519, u'presentedSeries': 132, u'presentedTime': 1557735798583, u'decodedTime': 1557735798583, u'fpsSeries': 133, u'fpsTime': 1557735798583}
{u'decodedSeries': 165, u'videoSeries': 5.380071, u'presentedSeries': 162, u'presentedTime': 1557735799583, u'decodedTime': 1557735799583, u'fpsSeries': 163, u'fpsTime': 1557735799583}
{u'decodedSeries': 196, u'videoSeries': 6.390979, u'presentedSeries': 192, u'presentedTime': 1557735800583, u'decodedTime': 1557735800583, u'fpsSeries': 193, u'fpsTime': 1557735800583}
{u'decodedSeries': 225, u'videoSeries': 7.402553, u'presentedSeries': 222, u'presentedTime': 1557735801583, u'decodedTime': 1557735801583, u'fpsSeries': 224, u'fpsTime': 1557735801583}
{u'decodedSeries': 256, u'videoSeries': 8.37152, u'presentedSeries': 252, u'presentedTime': 1557735802584, u'decodedTime': 1557735802583, u'fpsSeries': 253, u'fpsTime': 1557735802584}
{u'decodedSeries': 285, u'videoSeries': 9.380105, u'presentedSeries': 282, u'presentedTime': 1557735803584, u'decodedTime': 1557735803583, u'fpsSeries': 284, u'fpsTime': 1557735803584}
{u'decodedSeries': 315, u'videoSeries': 10.39459, u'presentedSeries': 312, u'presentedTime': 1557735804584, u'decodedTime': 1557735804584, u'fpsSeries': 313, u'fpsTime': 1557735804584}
{u'decodedSeries': 345, u'videoSeries': 11.406611, u'presentedSeries': 342, u'presentedTime': 1557735805584, u'decodedTime': 1557735805584, u'fpsSeries': 344, u'fpsTime': 1557735805584}
